id,Depth,age,N,C,S,OM,MM,MM_no_CaCO3,CaCO3,TOC,TOC_N,microcharcoal,P,Na,K,Ca,Mg,Fe,Mn,Cu,Zn ,Pb,FeMn,NaK,CuZn,CaFe,FeS,erosion,CaMg,TOCS,FeP
25,"0,24",,"1,83011138439178","30,8656826019287","0,954147100448608","63,0160577146846","36,9839422853154","23,8799422853154","13,104","30,5307869236055","19,4628871852577",19738,"0,926977737093564","0,30763617298464","6,55322558979781","21,4983521653848","6,04623874831474","13,2434181087113","0,0435102790395231","21,9376800512274","174,574380632038","43,1041776324417","304,374469689827","0,0469442366616486","0,125663799990601","1,62332352485674","1,38798494513945","0,600376271251121","3,55565717139056","31,9979874269397","14,2866625365077"
27,"0,26",,"1,78736817836761","27,9675636291504","0,954856336116791","57,6131810760498","42,3868189239502","30,6198189239502","11,767","27,9675636291504","18,2552339405574",24783,"0,90212","0,3129","7,459483","20,22981","6,65266","15,00291","0,04129001","22,48372","176,0293","45,82719","363,354477269441","0,0419466067554548","0,127727145424086","1,3483924118721","1,57122170451461","0,713058748450925","3,04086034759029","29,2898131072669","16,6307254023855"
29,"0,28",,"1,71665704250336","28,7646827697754","0,911013960838318","59,3375944218478","40,6624055781522","33,0664055781522","7,596","28,3712030050138","19,2815081985824",16009,"0,700833296052998","0,327532203440525","8,21658471997912","18,3083766758584","6,81662780745091","14,6203136318261","0,0433194010169731","24,9595174244415","128,176347026583","31,0448940746443","337,500364469437","0,0398623290092915","0,194727951010066","1,2522560826605","1,6048396907521","0,839000912141236","2,68584074017456","31,142445916972","20,8613285272915"
31,"0,3",,"1,52679336071014","30,4400768280029","0,868035435676575","59,0537490463257","40,9462509536743","34,1700509536743","6,7762","30,4400768280029","23,2601371474954",15738,"0,32381","0,221832","6,55422","12,34829","4,29821","8,092812","0,037029122","18,721221","87,29821","22,28711","218,552630008349","0,0338456750002289","0,214451373057936","1,52583428355929","0,932313551657278","0,896825552363931","2,87289127334402","35,0677813104219","24,9924708934252"
33,"0,32",,"1,5115954875946","29,7198047637939","0,823027849197388","58,1975431","41,8024569","38,4904569","3,312","29,4401469863091","22,7222417853006",13783,"0,246397162858129","0,1756255639651","4,97567063863979","9,50759224889986","3,89477205017146","7,62658356296007","0,0235366255390832","15,6629230974373","57,066239462107","14,4729367995429","324,030458414522","0,0352968628191016","0,274469165045258","1,24663844176248","0,926649513791966","0,951457321260604","2,44111648292262","35,7705356082653","30,9524000783699"
35,"0,34",,"1,49214208126068","28,064525604248","0,677604913711548","53,8838891601563","46,1161108398438","42,6739108398438","3,4422","28,064525604248","21,9429147863898",11223,"0,2281","0,27843","5,229382","13,492811","4,38921","8,69483","0,028938212","17,00291","59,8273","12,8372","300,461894466735","0,0532433851648245","0,284199855250028","1,55181998958001","1,28317103728993","0,733503344855271","3,07408645291522","41,41724039533","38,1185006576063"
37,"0,36",,"1,47480309009552","29,5564880371094","0,675107896327972","62,9168740666998","37,0831259333002","36,3271259333002","0,756","29,284785036431","23,1661994553388",14923,"0,340188455049622","0,304430312487611","7,80001712426823","15,1934161318316","6,42558274820829","12,498043070563","0,0408242554522349","21,0233429655048","71,2127285621782","19,2799437927556","306,142584405145","0,0390294415560237","0,295218894009217","1,21566360797852","1,8512660181494","0,956337275230844","2,36451956611532","43,3779329137104","36,738586759918"
39,"0,38",,"1,73107624053955","33,8223190307617","0,747276306152344","70,3504235839844","29,6495764160156","28,7512964160156","0,89828","33,8223190307617","22,7947049809062",12334,"0,4782","0,27626","7,229382","17,27881","6,22911","11,772612","0,041281982","19,220321","87,28122","22,93821","285,175551890895","0,038213501513684","0,220211415468299","1,46771251783377","1,57540281995773","0,794889925868737","2,77388101992098","45,2607941029332","24,6185947302384"
41,"0,4",,"1,65831065177917","37,7960968017578","1,3127213716507","71,6305988928032","28,3694011071968","27,1094011071968","1,26","37,4149047243818","26,3224035446032",10334,"0,53656387548639","0,232728521810167","5,19416390271706","18,501491787528","4,8880540253157","10,8459016978377","0,0422029798289098","17,7673861479684","157,100607949481","34,4410122532496","256,993741716978","0,0448057716639298","0,113095591289385","1,70585095669976","0,826215062241228","0,557519716155878","3,78504240986434","28,5017868470702","20,2136263608988"
43,"0,42",,"1,70487761497498","36,110652923584","1,28895151615143","71,1379862594604","28,8620137405396","27,0322037405396","1,82981","36,110652923584","24,7109204247092",14543,"0,58392","0,267261","6,5543","19,22881","5,22991","13,49821","0,047298122","22,83212","147,29832","31,92811","285,385749565279","0,0407764368429886","0,155005976986024","1,42454518043504","1,0472240290545","0,626740344306278","3,67669998145284","28,0155246113552","23,1165399369777"
